Dapper Badgers,,Player 1,Player 2,PLayer 3,Player 4,Player 5
USA Condor,,JVM,Brandon,Blake,Brad,Justin
,Dan,3,4,4,4,3
,Bokur,2,3,3,3,3
,Kyle,2,3,3,2,2
,Pete,2,4,2,4,3
,Jack,3,2,4,3,4
USA Jackrabbits,,Chris,Akers,Erica,Andy,Nate
,Dan,4,5,3,2,3
,Bokur,3,3,4,4,3
,Kyle,3,3,3,3,3
,Pete,3,3,4,3,3
,Jack,3,3,3,2,2
USA Bison,,Shawn,Cody,Dan,Rick,Andy
,Dan,3,3,3,3,4
,Bokur,3,2,3,3,4
,Kyle,2,3,2,3,3
,Pete,1,4,3,4,3
,Jack,2,3,3,4,3
